,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
15,"Fall of wickets: 1-67 (Rohit Sharma, 8.2 ov), 2-83 (Anmolpreet Singh, 10.4 ov), 3-117 (Tilak Varma, 14.2 ov), 4-122 (Kieron Pollard, 15.5 ov), 5-159 (Tim David, 18.6 ov)","Fall of wickets: 1-67 (Rohit Sharma, 8.2 ov), 2-83 (Anmolpreet Singh, 10.4 ov), 3-117 (Tilak Varma, 14.2 ov), 4-122 (Kieron Pollard, 15.5 ov), 5-159 (Tim David, 18.6 ov)","Fall of wickets: 1-67 (Rohit Sharma, 8.2 ov), 2-83 (Anmolpreet Singh, 10.4 ov), 3-117 (Tilak Varma, 14.2 ov), 4-122 (Kieron Pollard, 15.5 ov), 5-159 (Tim David, 18.6 ov)","Fall of wickets: 1-67 (Rohit Sharma, 8.2 ov), 2-83 (Anmolpreet Singh, 10.4 ov), 3-117 (Tilak Varma, 14.2 ov), 4-122 (Kieron Pollard, 15.5 ov), 5-159 (Tim David, 18.6 ov)","Fall of wickets: 1-67 (Rohit Sharma, 8.2 ov), 2-83 (Anmolpreet Singh, 10.4 ov), 3-117 (Tilak Varma, 14.2 ov), 4-122 (Kieron Pollard, 15.5 ov), 5-159 (Tim David, 18.6 ov)","Fall of wickets: 1-67 (Rohit Sharma, 8.2 ov), 2-83 (Anmolpreet Singh, 10.4 ov), 3-117 (Tilak Varma, 14.2 ov), 4-122 (Kieron Pollard, 15.5 ov), 5-159 (Tim David, 18.6 ov)","Fall of wickets: 1-67 (Rohit Sharma, 8.2 ov), 2-83 (Anmolpreet Singh, 10.4 ov), 3-117 (Tilak Varma, 14.2 ov), 4-122 (Kieron Pollard, 15.5 ov), 5-159 (Tim David, 18.6 ov)","Fall of wickets: 1-67 (Rohit Sharma, 8.2 ov), 2-83 (Anmolpreet Singh, 10.4 ov), 3-117 (Tilak Varma, 14.2 ov), 4-122 (Kieron Pollard, 15.5 ov), 5-159 (Tim David, 18.6 ov)","Fall of wickets: 1-67 (Rohit Sharma, 8.2 ov), 2-83 (Anmolpreet Singh, 10.4 ov), 3-117 (Tilak Varma, 14.2 ov), 4-122 (Kieron Pollard, 15.5 ov), 5-159 (Tim David, 18.6 ov)",
0,Prithvi Shaw,c †Ishan Kishan b Basil Thampi,38,24,53,4,2,158.33,,
1,,,,,,,,,,
2,Tim Seifert,b Ashwin,21,14,19,4,0,150.00,,
3,,,,,,,,,,
4,Mandeep Singh,c Tilak Varma b Ashwin,0,2,3,0,0,0.00,,
5,,,,,,,,,,
6,Rishabh Pant (c)†,c David b Mills,1,2,5,0,0,50.00,,
7,,,,,,,,,,
8,Lalit Yadav,not out,48,38,77,4,2,126.31,,
9,Rovman Powell,c Sams b Basil Thampi,0,2,3,0,0,0.00,,
10,,,,,,,,,,
11,Shardul Thakur,c Sharma b Basil Thampi,22,11,19,4,0,200.00,,
12,,,,,,,,,,
13,Axar Patel,not out,38,17,31,2,3,223.52,,
14,Extras,"(lb 4, w 7)",11,,,,,,,
15,TOTAL,18.2 Ov (RR: 9.76),179/6,,,,,,,
