,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
0,Quinton de Kock †,c †Sharma b Sandeep Sharma,46,37,61,4,2,124.32,,
1,,,,,,,,,,
2,KL Rahul (c),c †Sharma b Rabada,6,11,16,1,0,54.54,,
3,,,,,,,,,,
4,Deepak Hooda,run out (Bairstow),34,28,54,1,2,121.42,,
5,,,,,,,,,,
6,Krunal Pandya,c S Dhawan b Rabada,7,7,11,1,0,100.00,,
7,,,,,,,,,,
8,Marcus Stoinis,c & b Chahar,1,4,14,0,0,25.00,,
9,,,,,,,,,,
10,Ayush Badoni,c Livingstone b Rabada,4,4,4,0,0,100.00,,
11,,,,,,,,,,
12,Jason Holder,c Sandeep Sharma b Chahar,11,8,15,0,1,137.50,,
13,,,,,,,,,,
14,Dushmantha Chameera,c Chahar b Rabada,17,10,16,0,2,170.00,,
15,,,,,,,,,,
16,Mohsin Khan,not out,13,6,13,1,1,216.66,,
17,Avesh Khan,not out,2,5,9,0,0,40.00,,
18,Extras,"(lb 8, w 4)",12,,,,,,,
19,TOTAL,20 Ov (RR: 7.65),153/8,,,,,,,
20,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,Did not bat: Ravi Bishnoi,
21,"Fall of wickets: 1-13 (KL Rahul, 2.5 ov), 2-98 (Quinton de Kock, 12.4 ov), 3-104 (Deepak Hooda, 13.3 ov), 4-105 (Krunal Pandya, 14.1 ov), 5-109 (Ayush Badoni, 14.5 ov), 6-111 (Marcus Stoinis, 15.3 ov), 7-126 (Jason Holder, 17.4 ov), 8-144 (Dushmantha Chameera, 18.3 ov)","Fall of wickets: 1-13 (KL Rahul, 2.5 ov), 2-98 (Quinton de Kock, 12.4 ov), 3-104 (Deepak Hooda, 13.3 ov), 4-105 (Krunal Pandya, 14.1 ov), 5-109 (Ayush Badoni, 14.5 ov), 6-111 (Marcus Stoinis, 15.3 ov), 7-126 (Jason Holder, 17.4 ov), 8-144 (Dushmantha Chameera, 18.3 ov)","Fall of wickets: 1-13 (KL Rahul, 2.5 ov), 2-98 (Quinton de Kock, 12.4 ov), 3-104 (Deepak Hooda, 13.3 ov), 4-105 (Krunal Pandya, 14.1 ov), 5-109 (Ayush Badoni, 14.5 ov), 6-111 (Marcus Stoinis, 15.3 ov), 7-126 (Jason Holder, 17.4 ov), 8-144 (Dushmantha Chameera, 18.3 ov)","Fall of wickets: 1-13 (KL Rahul, 2.5 ov), 2-98 (Quinton de Kock, 12.4 ov), 3-104 (Deepak Hooda, 13.3 ov), 4-105 (Krunal Pandya, 14.1 ov), 5-109 (Ayush Badoni, 14.5 ov), 6-111 (Marcus Stoinis, 15.3 ov), 7-126 (Jason Holder, 17.4 ov), 8-144 (Dushmantha Chameera, 18.3 ov)","Fall of wickets: 1-13 (KL Rahul, 2.5 ov), 2-98 (Quinton de Kock, 12.4 ov), 3-104 (Deepak Hooda, 13.3 ov), 4-105 (Krunal Pandya, 14.1 ov), 5-109 (Ayush Badoni, 14.5 ov), 6-111 (Marcus Stoinis, 15.3 ov), 7-126 (Jason Holder, 17.4 ov), 8-144 (Dushmantha Chameera, 18.3 ov)","Fall of wickets: 1-13 (KL Rahul, 2.5 ov), 2-98 (Quinton de Kock, 12.4 ov), 3-104 (Deepak Hooda, 13.3 ov), 4-105 (Krunal Pandya, 14.1 ov), 5-109 (Ayush Badoni, 14.5 ov), 6-111 (Marcus Stoinis, 15.3 ov), 7-126 (Jason Holder, 17.4 ov), 8-144 (Dushmantha Chameera, 18.3 ov)","Fall of wickets: 1-13 (KL Rahul, 2.5 ov), 2-98 (Quinton de Kock, 12.4 ov), 3-104 (Deepak Hooda, 13.3 ov), 4-105 (Krunal Pandya, 14.1 ov), 5-109 (Ayush Badoni, 14.5 ov), 6-111 (Marcus Stoinis, 15.3 ov), 7-126 (Jason Holder, 17.4 ov), 8-144 (Dushmantha Chameera, 18.3 ov)","Fall of wickets: 1-13 (KL Rahul, 2.5 ov), 2-98 (Quinton de Kock, 12.4 ov), 3-104 (Deepak Hooda, 13.3 ov), 4-105 (Krunal Pandya, 14.1 ov), 5-109 (Ayush Badoni, 14.5 ov), 6-111 (Marcus Stoinis, 15.3 ov), 7-126 (Jason Holder, 17.4 ov), 8-144 (Dushmantha Chameera, 18.3 ov)","Fall of wickets: 1-13 (KL Rahul, 2.5 ov), 2-98 (Quinton de Kock, 12.4 ov), 3-104 (Deepak Hooda, 13.3 ov), 4-105 (Krunal Pandya, 14.1 ov), 5-109 (Ayush Badoni, 14.5 ov), 6-111 (Marcus Stoinis, 15.3 ov), 7-126 (Jason Holder, 17.4 ov), 8-144 (Dushmantha Chameera, 18.3 ov)",
0,Mayank Agarwal (c),c Rahul b Chameera,25,17,25,2,2,147.05,,
1,,,,,,,,,,
2,Shikhar Dhawan,b Ravi Bishnoi,5,15,34,0,0,33.33,,
3,,,,,,,,,,
4,Jonny Bairstow,c Pandya b Chameera,32,28,53,5,0,114.28,,
5,,,,,,,,,,
6,Bhanuka Rajapaksa,c Rahul b Pandya,9,7,8,1,0,128.57,,
7,,,,,,,,,,
8,Liam Livingstone,c †de Kock b Mohsin Khan,18,16,19,0,2,112.50,,
9,,,,,,,,,,
10,Jitesh Sharma †,lbw b Pandya,2,5,7,0,0,40.00,,
11,,,,,,,,,,
12,Rishi Dhawan,not out,21,22,35,3,1,95.45,,
13,Kagiso Rabada,c Badoni b Mohsin Khan,2,5,12,0,0,40.00,,
14,,,,,,,,,,
15,Rahul Chahar,c Badoni b Mohsin Khan,4,4,4,1,0,100.00,,
16,,,,,,,,,,
17,Arshdeep Singh,not out,0,2,10,0,0,0.00,,
18,Extras,"(b 4, lb 2, nb 1, w 8)",15,,,,,,,
19,TOTAL,20 Ov (RR: 6.65),133/8,,,,,,,
20,Did not bat: Sandeep Sharma,Did not bat: Sandeep Sharma,Did not bat: Sandeep Sharma,Did not bat: Sandeep Sharma,Did not bat: Sandeep Sharma,Did not bat: Sandeep Sharma,Did not bat: Sandeep Sharma,Did not bat: Sandeep Sharma,Did not bat: Sandeep Sharma,
21,"Fall of wickets: 1-35 (Mayank Agarwal, 4.4 ov), 2-46 (Shikhar Dhawan, 6.3 ov), 3-58 (Bhanuka Rajapaksa, 7.6 ov), 4-88 (Liam Livingstone, 12.1 ov), 5-92 (Jitesh Sharma, 13.2 ov), 6-103 (Jonny Bairstow, 15.2 ov), 7-112 (Kagiso Rabada, 17.2 ov), 8-117 (Rahul Chahar, 17.6 ov)","Fall of wickets: 1-35 (Mayank Agarwal, 4.4 ov), 2-46 (Shikhar Dhawan, 6.3 ov), 3-58 (Bhanuka Rajapaksa, 7.6 ov), 4-88 (Liam Livingstone, 12.1 ov), 5-92 (Jitesh Sharma, 13.2 ov), 6-103 (Jonny Bairstow, 15.2 ov), 7-112 (Kagiso Rabada, 17.2 ov), 8-117 (Rahul Chahar, 17.6 ov)","Fall of wickets: 1-35 (Mayank Agarwal, 4.4 ov), 2-46 (Shikhar Dhawan, 6.3 ov), 3-58 (Bhanuka Rajapaksa, 7.6 ov), 4-88 (Liam Livingstone, 12.1 ov), 5-92 (Jitesh Sharma, 13.2 ov), 6-103 (Jonny Bairstow, 15.2 ov), 7-112 (Kagiso Rabada, 17.2 ov), 8-117 (Rahul Chahar, 17.6 ov)","Fall of wickets: 1-35 (Mayank Agarwal, 4.4 ov), 2-46 (Shikhar Dhawan, 6.3 ov), 3-58 (Bhanuka Rajapaksa, 7.6 ov), 4-88 (Liam Livingstone, 12.1 ov), 5-92 (Jitesh Sharma, 13.2 ov), 6-103 (Jonny Bairstow, 15.2 ov), 7-112 (Kagiso Rabada, 17.2 ov), 8-117 (Rahul Chahar, 17.6 ov)","Fall of wickets: 1-35 (Mayank Agarwal, 4.4 ov), 2-46 (Shikhar Dhawan, 6.3 ov), 3-58 (Bhanuka Rajapaksa, 7.6 ov), 4-88 (Liam Livingstone, 12.1 ov), 5-92 (Jitesh Sharma, 13.2 ov), 6-103 (Jonny Bairstow, 15.2 ov), 7-112 (Kagiso Rabada, 17.2 ov), 8-117 (Rahul Chahar, 17.6 ov)","Fall of wickets: 1-35 (Mayank Agarwal, 4.4 ov), 2-46 (Shikhar Dhawan, 6.3 ov), 3-58 (Bhanuka Rajapaksa, 7.6 ov), 4-88 (Liam Livingstone, 12.1 ov), 5-92 (Jitesh Sharma, 13.2 ov), 6-103 (Jonny Bairstow, 15.2 ov), 7-112 (Kagiso Rabada, 17.2 ov), 8-117 (Rahul Chahar, 17.6 ov)","Fall of wickets: 1-35 (Mayank Agarwal, 4.4 ov), 2-46 (Shikhar Dhawan, 6.3 ov), 3-58 (Bhanuka Rajapaksa, 7.6 ov), 4-88 (Liam Livingstone, 12.1 ov), 5-92 (Jitesh Sharma, 13.2 ov), 6-103 (Jonny Bairstow, 15.2 ov), 7-112 (Kagiso Rabada, 17.2 ov), 8-117 (Rahul Chahar, 17.6 ov)","Fall of wickets: 1-35 (Mayank Agarwal, 4.4 ov), 2-46 (Shikhar Dhawan, 6.3 ov), 3-58 (Bhanuka Rajapaksa, 7.6 ov), 4-88 (Liam Livingstone, 12.1 ov), 5-92 (Jitesh Sharma, 13.2 ov), 6-103 (Jonny Bairstow, 15.2 ov), 7-112 (Kagiso Rabada, 17.2 ov), 8-117 (Rahul Chahar, 17.6 ov)","Fall of wickets: 1-35 (Mayank Agarwal, 4.4 ov), 2-46 (Shikhar Dhawan, 6.3 ov), 3-58 (Bhanuka Rajapaksa, 7.6 ov), 4-88 (Liam Livingstone, 12.1 ov), 5-92 (Jitesh Sharma, 13.2 ov), 6-103 (Jonny Bairstow, 15.2 ov), 7-112 (Kagiso Rabada, 17.2 ov), 8-117 (Rahul Chahar, 17.6 ov)",
0,Virat Kohli,b Mohammed Shami,58,53,83,6,1,109.43,,
1,,,,,,,,,,
2,Faf du Plessis (c),c †Saha b Sangwan,0,4,12,0,0,0.00,,
3,,,,,,,,,,
4,Rajat Patidar,c Shubman Gill b Sangwan,52,32,57,5,2,162.50,,
5,,,,,,,,,,
6,Glenn Maxwell,c Rashid Khan b Ferguson,33,18,26,3,2,183.33,,
7,,,,,,,,,,
8,Dinesh Karthik †,c Mohammed Shami b Rashid Khan,2,3,6,0,0,66.66,,
9,,,,,,,,,,
10,Shahbaz Ahmed,not out,2,2,19,0,0,100.00,,
11,Mahipal Lomror,c Miller b Joseph,16,8,13,2,1,200.00,,
12,,,,,,,,,,
13,Extras,"(lb 5, w 2)",7,,,,,,,
14,TOTAL,20 Ov (RR: 8.50),170/6,,,,,,,
15,"Did not bat: Wanindu Hasaranga de Silva, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Did not bat: Wanindu Hasaranga de Silva, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Did not bat: Wanindu Hasaranga de Silva, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Did not bat: Wanindu Hasaranga de Silva, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Did not bat: Wanindu Hasaranga de Silva, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Did not bat: Wanindu Hasaranga de Silva, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Did not bat: Wanindu Hasaranga de Silva, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Did not bat: Wanindu Hasaranga de Silva, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Did not bat: Wanindu Hasaranga de Silva, Harshal Patel, Josh Hazlewood, Mohammed Siraj",
16,"Fall of wickets: 1-11 (Faf du Plessis, 1.5 ov), 2-110 (Rajat Patidar, 14.1 ov), 3-129 (Virat Kohli, 16.4 ov), 4-138 (Dinesh Karthik, 17.3 ov), 5-150 (Glenn Maxwell, 18.3 ov), 6-170 (Mahipal Lomror, 19.6 ov)","Fall of wickets: 1-11 (Faf du Plessis, 1.5 ov), 2-110 (Rajat Patidar, 14.1 ov), 3-129 (Virat Kohli, 16.4 ov), 4-138 (Dinesh Karthik, 17.3 ov), 5-150 (Glenn Maxwell, 18.3 ov), 6-170 (Mahipal Lomror, 19.6 ov)","Fall of wickets: 1-11 (Faf du Plessis, 1.5 ov), 2-110 (Rajat Patidar, 14.1 ov), 3-129 (Virat Kohli, 16.4 ov), 4-138 (Dinesh Karthik, 17.3 ov), 5-150 (Glenn Maxwell, 18.3 ov), 6-170 (Mahipal Lomror, 19.6 ov)","Fall of wickets: 1-11 (Faf du Plessis, 1.5 ov), 2-110 (Rajat Patidar, 14.1 ov), 3-129 (Virat Kohli, 16.4 ov), 4-138 (Dinesh Karthik, 17.3 ov), 5-150 (Glenn Maxwell, 18.3 ov), 6-170 (Mahipal Lomror, 19.6 ov)","Fall of wickets: 1-11 (Faf du Plessis, 1.5 ov), 2-110 (Rajat Patidar, 14.1 ov), 3-129 (Virat Kohli, 16.4 ov), 4-138 (Dinesh Karthik, 17.3 ov), 5-150 (Glenn Maxwell, 18.3 ov), 6-170 (Mahipal Lomror, 19.6 ov)","Fall of wickets: 1-11 (Faf du Plessis, 1.5 ov), 2-110 (Rajat Patidar, 14.1 ov), 3-129 (Virat Kohli, 16.4 ov), 4-138 (Dinesh Karthik, 17.3 ov), 5-150 (Glenn Maxwell, 18.3 ov), 6-170 (Mahipal Lomror, 19.6 ov)","Fall of wickets: 1-11 (Faf du Plessis, 1.5 ov), 2-110 (Rajat Patidar, 14.1 ov), 3-129 (Virat Kohli, 16.4 ov), 4-138 (Dinesh Karthik, 17.3 ov), 5-150 (Glenn Maxwell, 18.3 ov), 6-170 (Mahipal Lomror, 19.6 ov)","Fall of wickets: 1-11 (Faf du Plessis, 1.5 ov), 2-110 (Rajat Patidar, 14.1 ov), 3-129 (Virat Kohli, 16.4 ov), 4-138 (Dinesh Karthik, 17.3 ov), 5-150 (Glenn Maxwell, 18.3 ov), 6-170 (Mahipal Lomror, 19.6 ov)","Fall of wickets: 1-11 (Faf du Plessis, 1.5 ov), 2-110 (Rajat Patidar, 14.1 ov), 3-129 (Virat Kohli, 16.4 ov), 4-138 (Dinesh Karthik, 17.3 ov), 5-150 (Glenn Maxwell, 18.3 ov), 6-170 (Mahipal Lomror, 19.6 ov)",
0,Wriddhiman Saha †,c Patidar b de Silva,29,22,36,4,0,131.81,,
1,,,,,,,,,,
2,Shubman Gill,lbw b Shahbaz Ahmed,31,28,44,3,1,110.71,,
3,,,,,,,,,,
4,Sai Sudharsan,c sub (†Anuj Rawat) b de Silva,20,14,29,2,0,142.85,,
5,,,,,,,,,,
6,Hardik Pandya (c),c Lomror b Shahbaz Ahmed,3,5,7,0,0,60.00,,
7,,,,,,,,,,
8,David Miller,not out,39,24,50,4,1,162.50,,
9,Rahul Tewatia,not out,43,25,39,5,2,172.00,,
10,Extras,"(lb 4, nb 1, w 4)",9,,,,,,,
11,TOTAL,19.3 Ov (RR: 8.92),174/4,,,,,,,
12,"Did not bat: Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Did not bat: Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Did not bat: Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Did not bat: Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Did not bat: Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Did not bat: Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Did not bat: Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Did not bat: Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Did not bat: Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami",
13,"Fall of wickets: 1-51 (Wriddhiman Saha, 7.3 ov), 2-68 (Shubman Gill, 8.5 ov), 3-78 (Hardik Pandya, 10.2 ov), 4-95 (Sai Sudharsan, 12.5 ov)","Fall of wickets: 1-51 (Wriddhiman Saha, 7.3 ov), 2-68 (Shubman Gill, 8.5 ov), 3-78 (Hardik Pandya, 10.2 ov), 4-95 (Sai Sudharsan, 12.5 ov)","Fall of wickets: 1-51 (Wriddhiman Saha, 7.3 ov), 2-68 (Shubman Gill, 8.5 ov), 3-78 (Hardik Pandya, 10.2 ov), 4-95 (Sai Sudharsan, 12.5 ov)","Fall of wickets: 1-51 (Wriddhiman Saha, 7.3 ov), 2-68 (Shubman Gill, 8.5 ov), 3-78 (Hardik Pandya, 10.2 ov), 4-95 (Sai Sudharsan, 12.5 ov)","Fall of wickets: 1-51 (Wriddhiman Saha, 7.3 ov), 2-68 (Shubman Gill, 8.5 ov), 3-78 (Hardik Pandya, 10.2 ov), 4-95 (Sai Sudharsan, 12.5 ov)","Fall of wickets: 1-51 (Wriddhiman Saha, 7.3 ov), 2-68 (Shubman Gill, 8.5 ov), 3-78 (Hardik Pandya, 10.2 ov), 4-95 (Sai Sudharsan, 12.5 ov)","Fall of wickets: 1-51 (Wriddhiman Saha, 7.3 ov), 2-68 (Shubman Gill, 8.5 ov), 3-78 (Hardik Pandya, 10.2 ov), 4-95 (Sai Sudharsan, 12.5 ov)","Fall of wickets: 1-51 (Wriddhiman Saha, 7.3 ov), 2-68 (Shubman Gill, 8.5 ov), 3-78 (Hardik Pandya, 10.2 ov), 4-95 (Sai Sudharsan, 12.5 ov)","Fall of wickets: 1-51 (Wriddhiman Saha, 7.3 ov), 2-68 (Shubman Gill, 8.5 ov), 3-78 (Hardik Pandya, 10.2 ov), 4-95 (Sai Sudharsan, 12.5 ov)",
0,Jos Buttler,c Yadav b Shokeen,67,52,85,5,4,128.84,,
1,,,,,,,,,,
2,Devdutt Padikkal,c Pollard b Shokeen,15,15,22,3,0,100.00,,
3,,,,,,,,,,
4,Sanju Samson (c)†,c David b Kartikeya,16,7,18,0,2,228.57,,
5,,,,,,,,,,
6,Daryl Mitchell,c Sharma b Sams,17,20,32,1,0,85.00,,
7,,,,,,,,,,
8,Shimron Hetmyer,not out,6,14,37,0,0,42.85,,
9,Riyan Parag,c Sams b Meredith,3,3,7,0,0,100.00,,
10,,,,,,,,,,
11,Ravichandran Ashwin,c †Ishan Kishan b Meredith,21,9,14,3,1,233.33,,
12,,,,,,,,,,
13,Trent Boult,not out,1,1,6,0,0,100.00,,
14,Extras,"(lb 1, nb 1, w 10)",12,,,,,,,
15,TOTAL,20 Ov (RR: 7.90),158/6,,,,,,,
16,"Did not bat: Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",
17,"Fall of wickets: 1-26 (Devdutt Padikkal, 4.2 ov), 2-54 (Sanju Samson, 7.2 ov), 3-91 (Daryl Mitchell, 14.1 ov), 4-126 (Jos Buttler, 15.6 ov), 5-130 (Riyan Parag, 17.1 ov), 6-155 (Ravichandran Ashwin, 19.1 ov)","Fall of wickets: 1-26 (Devdutt Padikkal, 4.2 ov), 2-54 (Sanju Samson, 7.2 ov), 3-91 (Daryl Mitchell, 14.1 ov), 4-126 (Jos Buttler, 15.6 ov), 5-130 (Riyan Parag, 17.1 ov), 6-155 (Ravichandran Ashwin, 19.1 ov)","Fall of wickets: 1-26 (Devdutt Padikkal, 4.2 ov), 2-54 (Sanju Samson, 7.2 ov), 3-91 (Daryl Mitchell, 14.1 ov), 4-126 (Jos Buttler, 15.6 ov), 5-130 (Riyan Parag, 17.1 ov), 6-155 (Ravichandran Ashwin, 19.1 ov)","Fall of wickets: 1-26 (Devdutt Padikkal, 4.2 ov), 2-54 (Sanju Samson, 7.2 ov), 3-91 (Daryl Mitchell, 14.1 ov), 4-126 (Jos Buttler, 15.6 ov), 5-130 (Riyan Parag, 17.1 ov), 6-155 (Ravichandran Ashwin, 19.1 ov)","Fall of wickets: 1-26 (Devdutt Padikkal, 4.2 ov), 2-54 (Sanju Samson, 7.2 ov), 3-91 (Daryl Mitchell, 14.1 ov), 4-126 (Jos Buttler, 15.6 ov), 5-130 (Riyan Parag, 17.1 ov), 6-155 (Ravichandran Ashwin, 19.1 ov)","Fall of wickets: 1-26 (Devdutt Padikkal, 4.2 ov), 2-54 (Sanju Samson, 7.2 ov), 3-91 (Daryl Mitchell, 14.1 ov), 4-126 (Jos Buttler, 15.6 ov), 5-130 (Riyan Parag, 17.1 ov), 6-155 (Ravichandran Ashwin, 19.1 ov)","Fall of wickets: 1-26 (Devdutt Padikkal, 4.2 ov), 2-54 (Sanju Samson, 7.2 ov), 3-91 (Daryl Mitchell, 14.1 ov), 4-126 (Jos Buttler, 15.6 ov), 5-130 (Riyan Parag, 17.1 ov), 6-155 (Ravichandran Ashwin, 19.1 ov)","Fall of wickets: 1-26 (Devdutt Padikkal, 4.2 ov), 2-54 (Sanju Samson, 7.2 ov), 3-91 (Daryl Mitchell, 14.1 ov), 4-126 (Jos Buttler, 15.6 ov), 5-130 (Riyan Parag, 17.1 ov), 6-155 (Ravichandran Ashwin, 19.1 ov)","Fall of wickets: 1-26 (Devdutt Padikkal, 4.2 ov), 2-54 (Sanju Samson, 7.2 ov), 3-91 (Daryl Mitchell, 14.1 ov), 4-126 (Jos Buttler, 15.6 ov), 5-130 (Riyan Parag, 17.1 ov), 6-155 (Ravichandran Ashwin, 19.1 ov)",
0,Rohit Sharma (c),c Mitchell b Ashwin,2,5,13,0,0,40.00,,
1,,,,,,,,,,
2,Ishan Kishan †,c †Samson b Boult,26,18,26,4,1,144.44,,
3,,,,,,,,,,
4,Suryakumar Yadav,c Parag b Chahal,51,39,69,5,2,130.76,,
5,,,,,,,,,,
6,Tilak Varma,c Parag b Prasidh Krishna,35,30,59,1,2,116.66,,
7,,,,,,,,,,
8,Kieron Pollard,c Mitchell b Sen,10,14,34,0,0,71.42,,
9,,,,,,,,,,
10,Tim David,not out,20,9,31,2,1,222.22,,
11,Daniel Sams,not out,6,1,1,0,1,600.00,,
12,Extras,"(b 1, lb 2, w 8)",11,,,,,,,
13,TOTAL,19.2 Ov (RR: 8.32),161/5,,,,,,,
14,"Did not bat: Hrithik Shokeen, Kumar Kartikeya, Jasprit Bumrah, Riley Meredith","Did not bat: Hrithik Shokeen, Kumar Kartikeya, Jasprit Bumrah, Riley Meredith","Did not bat: Hrithik Shokeen, Kumar Kartikeya, Jasprit Bumrah, Riley Meredith","Did not bat: Hrithik Shokeen, Kumar Kartikeya, Jasprit Bumrah, Riley Meredith","Did not bat: Hrithik Shokeen, Kumar Kartikeya, Jasprit Bumrah, Riley Meredith","Did not bat: Hrithik Shokeen, Kumar Kartikeya, Jasprit Bumrah, Riley Meredith","Did not bat: Hrithik Shokeen, Kumar Kartikeya, Jasprit Bumrah, Riley Meredith","Did not bat: Hrithik Shokeen, Kumar Kartikeya, Jasprit Bumrah, Riley Meredith","Did not bat: Hrithik Shokeen, Kumar Kartikeya, Jasprit Bumrah, Riley Meredith",
15,"Fall of wickets: 1-23 (Rohit Sharma, 2.3 ov), 2-41 (Ishan Kishan, 5.4 ov), 3-122 (Suryakumar Yadav, 14.6 ov), 4-122 (Tilak Varma, 15.2 ov), 5-155 (Kieron Pollard, 19.1 ov)","Fall of wickets: 1-23 (Rohit Sharma, 2.3 ov), 2-41 (Ishan Kishan, 5.4 ov), 3-122 (Suryakumar Yadav, 14.6 ov), 4-122 (Tilak Varma, 15.2 ov), 5-155 (Kieron Pollard, 19.1 ov)","Fall of wickets: 1-23 (Rohit Sharma, 2.3 ov), 2-41 (Ishan Kishan, 5.4 ov), 3-122 (Suryakumar Yadav, 14.6 ov), 4-122 (Tilak Varma, 15.2 ov), 5-155 (Kieron Pollard, 19.1 ov)","Fall of wickets: 1-23 (Rohit Sharma, 2.3 ov), 2-41 (Ishan Kishan, 5.4 ov), 3-122 (Suryakumar Yadav, 14.6 ov), 4-122 (Tilak Varma, 15.2 ov), 5-155 (Kieron Pollard, 19.1 ov)","Fall of wickets: 1-23 (Rohit Sharma, 2.3 ov), 2-41 (Ishan Kishan, 5.4 ov), 3-122 (Suryakumar Yadav, 14.6 ov), 4-122 (Tilak Varma, 15.2 ov), 5-155 (Kieron Pollard, 19.1 ov)","Fall of wickets: 1-23 (Rohit Sharma, 2.3 ov), 2-41 (Ishan Kishan, 5.4 ov), 3-122 (Suryakumar Yadav, 14.6 ov), 4-122 (Tilak Varma, 15.2 ov), 5-155 (Kieron Pollard, 19.1 ov)","Fall of wickets: 1-23 (Rohit Sharma, 2.3 ov), 2-41 (Ishan Kishan, 5.4 ov), 3-122 (Suryakumar Yadav, 14.6 ov), 4-122 (Tilak Varma, 15.2 ov), 5-155 (Kieron Pollard, 19.1 ov)","Fall of wickets: 1-23 (Rohit Sharma, 2.3 ov), 2-41 (Ishan Kishan, 5.4 ov), 3-122 (Suryakumar Yadav, 14.6 ov), 4-122 (Tilak Varma, 15.2 ov), 5-155 (Kieron Pollard, 19.1 ov)","Fall of wickets: 1-23 (Rohit Sharma, 2.3 ov), 2-41 (Ishan Kishan, 5.4 ov), 3-122 (Suryakumar Yadav, 14.6 ov), 4-122 (Tilak Varma, 15.2 ov), 5-155 (Kieron Pollard, 19.1 ov)",
0,Quinton de Kock †,c Lalit Yadav b Thakur,23,13,26,3,1,176.92,,
1,,,,,,,,,,
2,KL Rahul (c),c Lalit Yadav b Thakur,77,51,98,4,5,150.98,,
3,,,,,,,,,,
4,Deepak Hooda,c & b Thakur,52,34,49,6,1,152.94,,
5,,,,,,,,,,
6,Marcus Stoinis,not out,17,16,34,1,1,106.25,,
7,Krunal Pandya,not out,9,6,10,0,0,150.00,,
8,Extras,"(lb 4, w 13)",17,,,,,,,
9,TOTAL,20 Ov (RR: 9.75),195/3,,,,,,,
10,"Did not bat: Ayush Badoni, Jason Holder, Mohsin Khan, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi","Did not bat: Ayush Badoni, Jason Holder, Mohsin Khan, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi","Did not bat: Ayush Badoni, Jason Holder, Mohsin Khan, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi","Did not bat: Ayush Badoni, Jason Holder, Mohsin Khan, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi","Did not bat: Ayush Badoni, Jason Holder, Mohsin Khan, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi","Did not bat: Ayush Badoni, Jason Holder, Mohsin Khan, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi","Did not bat: Ayush Badoni, Jason Holder, Mohsin Khan, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi","Did not bat: Ayush Badoni, Jason Holder, Mohsin Khan, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi","Did not bat: Ayush Badoni, Jason Holder, Mohsin Khan, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi",
