,Batsman,Status,Runs,Balls,Fours,Sixes,Out
1545,Wriddhiman Saha,c Patidar b de Silva,29,22,4,0,True
1547,Shubman Gill,lbw b Shahbaz Ahmed,31,28,3,1,True
1549,Sai Sudharsan,c sub (†Anuj Rawat) b de Silva,20,14,2,0,True
1551,Hardik Pandya,c Lomror b Shahbaz Ahmed,3,5,0,0,True
1553,David Miller,not out,39,24,4,1,False
1554,Rahul Tewatia,not out,43,25,5,2,False
1559,Jos Buttler,c Yadav b Shokeen,67,52,5,4,True
1561,Devdutt Padikkal,c Pollard b Shokeen,15,15,3,0,True
1563,Sanju Samson,c David b Kartikeya,16,7,0,2,True
1565,Daryl Mitchell,c Sharma b Sams,17,20,1,0,True
1567,Shimron Hetmyer,not out,6,14,0,0,False
1568,Riyan Parag,c Sams b Meredith,3,3,0,0,True
1570,Ravichandran Ashwin,c †Ishan Kishan b Meredith,21,9,3,1,True
1572,Trent Boult,not out,1,1,0,0,False
1577,Rohit Sharma,c Mitchell b Ashwin,2,5,0,0,True
1579,Ishan Kishan,c †Samson b Boult,26,18,4,1,True
1581,Suryakumar Yadav,c Parag b Chahal,51,39,5,2,True
1583,Tilak Varma,c Parag b Prasidh Krishna,35,30,1,2,True
1585,Kieron Pollard,c Mitchell b Sen,10,14,0,0,True
1587,Tim David,not out,20,9,2,1,False
1588,Daniel Sams,not out,6,1,0,1,False
1593,Quinton de Kock,c Lalit Yadav b Thakur,23,13,3,1,True
1595,KL Rahul,c Lalit Yadav b Thakur,77,51,4,5,True
1597,Deepak Hooda,c & b Thakur,52,34,6,1,True
1599,Marcus Stoinis,not out,17,16,1,1,False
1600,Krunal Pandya,not out,9,6,0,0,False
1605,Prithvi Shaw,c Gowtham b Chameera,5,7,1,0,True
1607,David Warner,c Badoni b Mohsin Khan,3,4,0,0,True
1609,Mitchell Marsh,c †de Kock b Gowtham,37,20,3,3,True
1611,Rishabh Pant,b Mohsin Khan,44,30,7,1,True
1613,Lalit Yadav,b Ravi Bishnoi,3,4,0,0,True
1615,Rovman Powell,c Pandya b Mohsin Khan,35,21,3,2,True
1617,Axar Patel,not out,42,24,1,3,False
1618,Shardul Thakur,c Pandya b Mohsin Khan,1,2,0,0,True
1620,Kuldeep Yadav,not out,16,8,1,1,False
1625,Ruturaj Gaikwad,c Kumar b Natarajan,99,57,6,6,True
1627,Devon Conway,not out,85,55,8,4,False
1628,MS Dhoni,c Umran Malik b Natarajan,8,7,1,0,True
1630,Ravindra Jadeja,not out,1,1,0,0,False
1635,Abhishek Sharma,c Pretorius b Mukesh Choudhary,39,24,5,1,True
1637,Kane Williamson,lbw b Pretorius,47,37,2,2,True
1639,Rahul Tripathi,c Simarjeet Singh b Mukesh Choudhary,0,1,0,0,True
1641,Aiden Markram,c Jadeja b Santner,17,10,0,2,True
1643,Nicholas Pooran,not out,64,33,3,6,False
1644,Shashank Singh,c †Dhoni b Mukesh Choudhary,15,14,1,0,True
1646,Washington Sundar,b Mukesh Choudhary,2,2,0,0,True
1648,Marco Jansen,not out,0,0,0,0,False
1653,Jos Buttler,c Shivam Mavi b Southee,22,25,3,0,True
1655,Devdutt Padikkal,c & b Yadav,2,5,0,0,True
1657,Sanju Samson,c Singh b Shivam Mavi,54,49,7,1,True
1659,Karun Nair,c Singh b Roy,13,13,1,0,True
1661,Riyan Parag,c Roy b Southee,19,12,1,2,True
1663,Shimron Hetmyer,not out,27,13,1,2,False
1664,Ravichandran Ashwin,not out,6,5,0,0,False
1669,Baba Indrajith,c Ashwin b Prasidh Krishna,15,16,2,0,True
1671,Aaron Finch,b Sen,4,7,0,0,True
1673,Shreyas Iyer,c †Samson b Boult,34,32,3,1,True
1675,Nitish Rana,not out,48,37,3,2,False
1676,Rinku Singh,not out,42,23,6,1,False
1681,Wriddhiman Saha,c Agarwal b Rabada,21,17,3,1,True
1683,Shubman Gill,run out (R Dhawan),9,6,2,0,True
1685,Sai Sudharsan,not out,65,50,5,1,False
1686,Hardik Pandya,c †Sharma b R Dhawan,1,7,0,0,True
1688,David Miller,c Rabada b Livingstone,11,14,0,0,True
1690,Rahul Tewatia,c Sandeep Sharma b Rabada,11,13,0,0,True
1692,Rashid Khan,c †Sharma b Rabada,0,1,0,0,True
1694,Pradeep Sangwan,b Arshdeep Singh,2,5,0,0,True
1696,Lockie Ferguson,c Livingstone b Rabada,5,3,1,0,True
1698,Alzarri Joseph,not out,4,5,0,0,False
1703,Jonny Bairstow,c Sangwan b Mohammed Shami,1,6,0,0,True
1705,Shikhar Dhawan,not out,62,53,8,1,False
1706,Bhanuka Rajapaksa,lbw b Ferguson,40,28,5,1,True
1708,Liam Livingstone,not out,30,10,2,3,False
1713,Virat Kohli,b Ali,30,33,3,1,True
1715,Faf du Plessis,c Jadeja b Ali,38,22,4,1,True
1717,Glenn Maxwell,run out (Uthappa/†Dhoni),3,3,0,0,True
1719,Mahipal Lomror,c Gaikwad b Theekshana,42,27,3,2,True
1721,Rajat Patidar,c Mukesh Choudhary b Pretorius,21,15,1,1,True
1723,Dinesh Karthik,not out,26,17,1,2,False
1724,Wanindu Hasaranga de Silva,c Gaikwad b Theekshana,0,1,0,0,True
1726,Shahbaz Ahmed,b Theekshana,1,2,0,0,True
1728,Harshal Patel,run out (Conway/Pretorius),0,0,0,0,True
1730,Mohammed Siraj,not out,0,0,0,0,False
1735,Ruturaj Gaikwad,c sub (SS Prabhudessai) b Shahbaz Ahmed,28,23,3,1,True
1737,Devon Conway,c Shahbaz Ahmed b de Silva,56,37,6,2,True
1739,Robin Uthappa,c sub (SS Prabhudessai) b Maxwell,1,3,0,0,True
1741,Ambati Rayudu,b Maxwell,10,8,0,1,True
1743,Moeen Ali,c Mohammed Siraj b Patel,34,27,2,2,True
1745,Ravindra Jadeja,c Kohli b Patel,3,5,0,0,True
1747,MS Dhoni,c Patidar b Hazlewood,2,3,0,0,True
1749,Dwaine Pretorius,c Kohli b Patel,13,8,1,1,True
1751,Simarjeet Singh,not out,2,2,0,0,False
1752,Maheesh Theekshana,not out,7,4,0,1,False
1757,Mandeep Singh,c †Pooran b Kumar,0,5,0,0,True
1759,David Warner,not out,92,58,12,3,False
1760,Mitchell Marsh,c & b Abbott,10,7,2,0,True
1762,Rishabh Pant,b Gopal,26,16,1,3,True
1764,Rovman Powell,not out,67,35,3,6,False
