,Batsman,Status,Runs,Balls,Fours,Sixes,Out
1206,Shardul Thakur,run out (Parag/†Samson),10,7,0,1,True
1208,Rovman Powell,c †Samson b McCoy,36,15,0,5,True
1210,Kuldeep Yadav,not out,0,3,0,0,False
1215,Wriddhiman Saha,c VR Iyer b Yadav,25,25,2,1,True
1217,Shubman Gill,c †Billings b Southee,7,5,1,0,True
1219,Hardik Pandya,c Singh b Southee,67,49,4,2,True
1221,David Miller,c Yadav b Shivam Mavi,27,20,1,2,True
1223,Rahul Tewatia,c Singh b Russell,17,12,2,0,True
1225,Rashid Khan,c Yadav b Southee,0,2,0,0,True
1227,Abhinav Manohar,c Singh b Russell,2,4,0,0,True
1229,Lockie Ferguson,c Singh b Russell,0,1,0,0,True
1231,Alzarri Joseph,not out,1,1,0,0,False
1232,Yash Dayal,c & b Russell,0,1,0,0,True
1238,Sam Billings,c †Saha b Mohammed Shami,4,4,1,0,True
1240,Sunil Narine,c Ferguson b Mohammed Shami,5,5,1,0,True
1242,Shreyas Iyer,c †Saha b Yash Dayal,12,15,1,1,True
1244,Nitish Rana,c †Saha b Ferguson,2,7,0,0,True
1246,Rinku Singh,c †Saha b Yash Dayal,35,28,4,1,True
1248,Venkatesh Iyer,c Manohar b Rashid Khan,17,17,2,0,True
1250,Andre Russell,c Ferguson b Joseph,48,25,1,6,True
1252,Shivam Mavi,b Rashid Khan,2,4,0,0,True
1254,Umesh Yadav,not out,15,15,1,1,False
1255,Tim Southee,not out,1,1,0,0,False
1260,Faf du Plessis,b Jansen,5,7,1,0,True
1262,Anuj Rawat,c Markram b Jansen,0,2,0,0,True
1264,Virat Kohli,c Markram b Jansen,0,1,0,0,True
1266,Glenn Maxwell,c Williamson b Natarajan,12,11,2,0,True
1268,Suyash Prabhudessai,st †Pooran b Suchith,15,20,1,0,True
1270,Shahbaz Ahmed,c †Pooran b Umran Malik,7,12,1,0,True
1272,Dinesh Karthik,c †Pooran b Suchith,0,3,0,0,True
1274,Harshal Patel,b Natarajan,4,8,0,0,True
1276,Wanindu Hasaranga de Silva,b Natarajan,8,19,1,0,True
1278,Josh Hazlewood,not out,3,11,0,0,False
1279,Mohammed Siraj,c Williamson b Kumar,2,4,0,0,True
1284,Abhishek Sharma,c Anuj Rawat b Patel,47,28,8,1,True
1286,Kane Williamson,not out,16,17,2,0,False
1287,Rahul Tripathi,not out,7,3,0,1,False
1292,Quinton de Kock,c Sharma b Bumrah,10,9,0,1,True
1294,KL Rahul,not out,103,62,12,4,False
1295,Manish Pandey,c Meredith b Pollard,22,22,0,1,True
1297,Marcus Stoinis,c Tilak Varma b Sams,0,3,0,0,True
1299,Krunal Pandya,c Shokeen b Pollard,1,2,0,0,True
1301,Deepak Hooda,c Brevis b Meredith,10,9,1,0,True
1303,Ayush Badoni,c Pollard b Meredith,14,11,0,1,True
1305,Jason Holder,not out,0,2,0,0,False
1310,Ishan Kishan,c Holder b Ravi Bishnoi,8,20,0,0,True
1312,Rohit Sharma,c sub (K Gowtham) b Pandya,39,31,5,1,True
1314,Dewald Brevis,c Chameera b Mohsin Khan,3,5,0,0,True
1316,Suryakumar Yadav,c Rahul b Badoni,7,7,1,0,True
1318,Tilak Varma,c Ravi Bishnoi b Holder,38,27,2,2,True
1320,Kieron Pollard,c Hooda b Pandya,19,20,0,1,True
1322,Daniel Sams,c Ravi Bishnoi b Pandya,3,7,0,0,True
1324,Jaydev Unadkat,run out (Holder/Pandya),1,1,0,0,True
1326,Hrithik Shokeen,not out,0,0,0,0,False
1327,Jasprit Bumrah,not out,0,2,0,0,False
1332,Mayank Agarwal,c Dube b Theekshana,18,21,2,0,True
1334,Shikhar Dhawan,not out,88,59,9,2,False
1335,Bhanuka Rajapaksa,c Dube b Bravo,42,32,2,2,True
1337,Liam Livingstone,c Mukesh Choudhary b Bravo,19,7,1,2,True
1339,Jonny Bairstow,run out (Santner/†Dhoni),6,3,1,0,True
1345,Ruturaj Gaikwad,c Agarwal b Rabada,30,27,4,0,True
1347,Robin Uthappa,c R Dhawan b Sandeep Sharma,1,7,0,0,True
1349,Mitchell Santner,b Arshdeep Singh,9,15,1,0,True
1351,Shivam Dube,b R Dhawan,8,7,1,0,True
1353,Ambati Rayudu,b Rabada,78,39,7,6,True
1355,Ravindra Jadeja,not out,21,16,1,1,False
1356,MS Dhoni,c Bairstow b R Dhawan,12,8,1,1,True
1358,Dwaine Pretorius,not out,1,1,0,0,False
1363,Jos Buttler,c Mohammed Siraj b Hazlewood,8,9,1,0,True
1365,Devdutt Padikkal,lbw b Mohammed Siraj,7,7,0,1,True
1367,Ravichandran Ashwin,c & b Mohammed Siraj,17,9,4,0,True
1369,Sanju Samson,b de Silva,27,21,1,3,True
1371,Daryl Mitchell,c Maxwell b Hazlewood,16,24,0,0,True
1373,Riyan Parag,not out,56,31,3,4,False
1374,Shimron Hetmyer,c Prabhudessai b de Silva,3,7,0,0,True
1376,Trent Boult,c Kohli b Patel,5,7,0,0,True
1378,Prasidh Krishna,run out (Prabhudessai),2,5,0,0,True
1380,Yuzvendra Chahal,not out,0,0,0,0,False
1385,Virat Kohli,c Parag b Prasidh Krishna,9,10,2,0,True
1387,Faf du Plessis,c Buttler b Sen,23,21,3,1,True
1389,Rajat Patidar,b Ashwin,16,16,0,1,True
1391,Glenn Maxwell,c Padikkal b Sen,0,1,0,0,True
1393,Shahbaz Ahmed,c Parag b Ashwin,17,27,0,1,True
1395,Suyash Prabhudessai,c Parag b Ashwin,2,7,0,0,True
1397,Dinesh Karthik,run out (Prasidh Krishna/Chahal),6,4,1,0,True
1399,Wanindu Hasaranga de Silva,c & b Sen,18,13,2,0,True
1401,Harshal Patel,c Parag b Sen,8,11,0,1,True
1403,Mohammed Siraj,c Sen b Prasidh Krishna,5,5,1,0,True
1405,Josh Hazlewood,not out,0,2,0,0,False
1409,Abhishek Sharma,b Joseph,65,42,6,3,True
1411,Kane Williamson,b Mohammed Shami,5,8,1,0,True
1413,Rahul Tripathi,lbw b Mohammed Shami,16,10,2,1,True
1415,Aiden Markram,c Miller b Yash Dayal,56,40,2,3,True
1417,Nicholas Pooran,c Shubman Gill b Mohammed Shami,3,5,0,0,True
1419,Washington Sundar,run out (Joseph),3,4,0,0,True
1421,Shashank Singh,not out,25,6,1,3,False
1422,Marco Jansen,not out,8,5,0,1,False
1427,Wriddhiman Saha,b Umran Malik,68,38,11,1,True
1429,Shubman Gill,b Umran Malik,22,24,1,1,True
1431,Hardik Pandya,c Jansen b Umran Malik,10,6,2,0,True
1433,David Miller,b Umran Malik,17,19,1,0,True
1435,Rahul Tewatia,not out,40,21,4,2,False
1436,Abhinav Manohar,b Umran Malik,0,1,0,0,True
1438,Rashid Khan,not out,31,11,0,4,False
1443,Aaron Finch,b Sakariya,3,7,0,0,True
1445,Venkatesh Iyer,c Sakariya b Patel,6,12,0,0,True
1447,Shreyas Iyer,c †Pant b Kuldeep Yadav,42,37,4,0,True
1449,Baba Indrajith,c Powell b Kuldeep Yadav,6,8,0,0,True
1451,Sunil Narine,lbw b Kuldeep Yadav,0,1,0,0,True
1453,Nitish Rana,c Sakariya b Mustafizur Rahman,57,34,3,4,True
1455,Andre Russell,st †Pant b Kuldeep Yadav,0,3,0,0,True
1457,Rinku Singh,c Powell b Mustafizur Rahman,23,16,3,0,True
1459,Umesh Yadav,not out,0,1,0,0,False
1460,Tim Southee,b Mustafizur Rahman,0,1,0,0,True
1462,Harshit Rana,not out,0,1,0,0,False
1466,Prithvi Shaw,c & b Yadav,0,1,0,0,True
1468,David Warner,c Narine b Yadav,42,26,8,0,True
1470,Mitchell Marsh,c VR Iyer b Harshit Rana,13,7,2,0,True
1472,Lalit Yadav,lbw b Narine,22,29,1,1,True
1474,Rishabh Pant,c †Indrajith b Yadav,2,5,0,0,True
1476,Rovman Powell,not out,33,16,1,3,False
1477,Axar Patel,run out (SS Iyer/VR Iyer),24,17,2,1,True
1479,Shardul Thakur,not out,8,14,0,0,False
1484,Quinton de Kock,c †Sharma b Sandeep Sharma,46,37,4,2,True
1486,KL Rahul,c †Sharma b Rabada,6,11,1,0,True
1488,Deepak Hooda,run out (Bairstow),34,28,1,2,True
1490,Krunal Pandya,c S Dhawan b Rabada,7,7,1,0,True
1492,Marcus Stoinis,c & b Chahar,1,4,0,0,True
1494,Ayush Badoni,c Livingstone b Rabada,4,4,0,0,True
1496,Jason Holder,c Sandeep Sharma b Chahar,11,8,0,1,True
1498,Dushmantha Chameera,c Chahar b Rabada,17,10,0,2,True
1500,Mohsin Khan,not out,13,6,1,1,False
1501,Avesh Khan,not out,2,5,0,0,False
1506,Mayank Agarwal,c Rahul b Chameera,25,17,2,2,True
1508,Shikhar Dhawan,b Ravi Bishnoi,5,15,0,0,True
1510,Jonny Bairstow,c Pandya b Chameera,32,28,5,0,True
1512,Bhanuka Rajapaksa,c Rahul b Pandya,9,7,1,0,True
1514,Liam Livingstone,c †de Kock b Mohsin Khan,18,16,0,2,True
1516,Jitesh Sharma,lbw b Pandya,2,5,0,0,True
1518,Rishi Dhawan,not out,21,22,3,1,False
1519,Kagiso Rabada,c Badoni b Mohsin Khan,2,5,0,0,True
1521,Rahul Chahar,c Badoni b Mohsin Khan,4,4,1,0,True
1523,Arshdeep Singh,not out,0,2,0,0,False
1528,Virat Kohli,b Mohammed Shami,58,53,6,1,True
1530,Faf du Plessis,c †Saha b Sangwan,0,4,0,0,True
1532,Rajat Patidar,c Shubman Gill b Sangwan,52,32,5,2,True
1534,Glenn Maxwell,c Rashid Khan b Ferguson,33,18,3,2,True
1536,Dinesh Karthik,c Mohammed Shami b Rashid Khan,2,3,0,0,True
1538,Shahbaz Ahmed,not out,2,2,0,0,False
1539,Mahipal Lomror,c Miller b Joseph,16,8,2,1,True
